Date		Price	Open	High	Low	Vol.	Change%	
18-May-16	721.78	718.5	725.57	715.02	1.63M	0.22%	
19-May-16	715.31	718.3	720.5	710.3	1.53M	-0.90%	
20-May-16	721.71	716.46	727.7	715.01	1.74M	0.89%	
23-May-16	717.25	719.98	723.5	716.94	1.24M	-0.62%	
24-May-16	733.03	719.85	734.2	719.64	1.89M	2.20%	
25-May-16	738.1	735	739.89	732.6	1.62M	0.69%	
26-May-16	736.93	736	741.1	733	1.36M	-0.16%	
27-May-16	747.6	737.51	747.91	737.01	1.74M	1.45%	
31-May-16	748.85	748.76	753.48	745.57	2.12M	0.17%	
1-Jun-16	748.46	748.47	751.37	744.34	1.04M	-0.05%	
2-Jun-16	744.27	746.1	747.3	737	1.70M	-0.56%	
3-Jun-16	735.86	741.49	741.49	733.91	1.23M	-1.13%	
6-Jun-16	730.06	738.5	738.5	728.29	1.50M	-0.79%	
7-Jun-16	731.09	733.27	736.71	730.8	1.22M	0.14%	
8-Jun-16	742.93	739.5	743.81	735.76	1.62M	1.62%	
9-Jun-16	742.52	737.07	743.93	736.5	958.96K	-0.06%	
10-Jun-16	733.19	735.95	739.64	730.51	1.45M	-1.26%	
13-Jun-16	731.88	729.82	739	729.82	1.17M	-0.18%	
14-Jun-16	733.25	729.31	736	726.5	1.33M	0.19%	
15-Jun-16	732.19	734.92	737.15	731.31	1.16M	-0.14%	
16-Jun-16	724.25	727.96	730.39	715.54	2.25M	-1.08%	
17-Jun-16	704.25	721.39	721.39	701.12	4.11M	-2.76%	
20-Jun-16	706.13	710.31	715.87	705.41	2.28M	0.27%	
21-Jun-16	708.88	710.05	715.38	704.66	1.52M	0.39%	
22-Jun-16	710.47	714.05	714.21	705.88	1.45M	0.22%	
23-Jun-16	714.87	710.55	714.88	700.25	2.13M	0.62%	
24-Jun-16	685.2	690.17	705	684.91	4.77M	-4.15%	
27-Jun-16	681.14	682.49	683.33	672.66	2.92M	-0.59%	
28-Jun-16	691.26	691.37	692.74	684.85	1.91M	1.49%	
29-Jun-16	695.19	694.26	699.5	692.68	2.16M	0.57%	
30-Jun-16	703.53	697.65	703.77	694.9	2.11M	1.20%	
1-Jul-16	710.25	705.1	712.53	703.73	1.55M	0.96%	
5-Jul-16	704.89	705.01	708.12	699.13	1.42M	-0.75%	
6-Jul-16	708.97	699.84	713	699	1.45M	0.58%	
7-Jul-16	707.26	710.11	710.17	700.67	1.06M	-0.24%	
8-Jul-16	717.78	710.56	717.9	708.11	1.50M	1.49%	
11-Jul-16	727.2	719.42	728.93	718.87	1.44M	1.31%	
12-Jul-16	732.51	731.92	735.6	727.5	1.33M	0.73%	
13-Jul-16	729.48	735.52	735.52	729.02	1.02M	-0.41%	
14-Jul-16	735.8	733.94	736.14	730.59	1.07M	0.87%	
15-Jul-16	735.63	741	741	734.64	1.62M	-0.02%	
18-Jul-16	753.2	737.91	755.14	736.51	1.93M	2.39%	
19-Jul-16	753.41	749.87	756.59	748.49	1.52M	0.03%	
20-Jul-16	757.08	754.05	760.64	754.05	1.13M	0.49%	
21-Jul-16	754.41	757	758.15	751.52	953.05K	-0.35%	
22-Jul-16	759.28	757.32	759.45	752.65	1.05M	0.65%	
25-Jul-16	757.52	757.68	759.82	754.07	1.07M	-0.23%	
26-Jul-16	757.65	757.52	759.26	752.75	1.19M	0.02%	
27-Jul-16	761.97	758.97	764.45	755.93	1.61M	0.57%	
28-Jul-16	765.84	768.84	768.97	759.09	3.67M	0.51%	
29-Jul-16	791.34	797.71	803.94	790	5.09M	3.33%	
1-Aug-16	800.94	786.67	807.49	785.04	3.03M	1.21%	
2-Aug-16	800.12	797.33	802.32	794.53	2.00M	-0.10%	
3-Aug-16	798.92	796.47	799.54	793.02	1.46M	-0.15%	
4-Aug-16	797.25	798.24	800.2	793.92	1.08M	-0.21%	
5-Aug-16	806.93	800.11	807.22	797.81	1.81M	1.21%	
8-Aug-16	805.23	806	807.6	801.69	1.22M	-0.21%	
9-Aug-16	807.48	804.49	813.33	804.06	1.61M	0.28%	
10-Aug-16	808.49	807.05	810.88	806.49	918.51K	0.13%	
11-Aug-16	808.2	810.47	813.88	806	1.28M	-0.04%	
