Date	        Price	Open	High	Low	Vol.	Change%
28-May-16	527.01	472	541.01	471	74.36K	11.65%	
29-May-16	531	527	567	512.5	83.72K	0.76%	
30-May-16	532.89	531	548.37	521.11	32.60K	0.36%	
31-May-16	530.69	532.89	546.5	518	49.88K	-0.41%	
1-Jun-16	536.79	530.69	546.12	523.8	27.82K	1.15%	
2-Jun-16	538.8	536.79	543.74	532.38	16.88K	0.37%	
3-Jun-16	570.87	538.8	579	535.78	48.45K	5.95%	
4-Jun-16	572.67	570.87	593.67	561.5	39.12K	0.32%	
5-Jun-16	574	572.87	586.01	565.23	28.14K	0.23%	
6-Jun-16	585.22	574.01	588.5	574	27.45K	1.95%	
7-Jun-16	576.88	585.22	592.08	561.3	36.12K	-1.43%	
8-Jun-16	583.05	576.88	585	571.11	18.08K	1.07%	
9-Jun-16	575.52	583.05	583.65	570	21.87K	-1.29%	
10-Jun-16	580.08	575.52	582.42	572.5	16.17K	0.79%	
11-Jun-16	614.52	580.08	615	579.29	28.43K	5.94%	
12-Jun-16	671	614.62	685	606.98	116.40K	9.19%	
13-Jun-16	705.88	671.99	718.99	659.94	117.69K	5.20%	
14-Jun-16	684.51	705.87	705.88	656.51	65.74K	-3.03%	
15-Jun-16	696.88	684.51	699.13	669.21	34.04K	1.81%	
16-Jun-16	769.45	696.99	778.5	696.99	123.86K	10.41%	
17-Jun-16	748.66	769.45	779.98	703.12	97.38K	-2.70%	
18-Jun-16	757.6	748.66	789.71	721.56	66.95K	1.19%	
19-Jun-16	767.3	757.6	771.91	740	26.70K	1.28%	
20-Jun-16	743.9	767.3	767.7	724.29	49.09K	-3.05%	
21-Jun-16	668.88	705.79	715.78	668.88	102.12K	-10.08%	
22-Jun-16	606.02	669	688.2	588.89	100.50K	-9.40%	
23-Jun-16	625.8	605.58	638.22	555.58	122.98K	3.26%	
24-Jun-16	666.05	625.8	679.95	625.79	92.36K	6.43%	
25-Jun-16	664.87	665.5	698	642.82	55.63K	-0.18%	
26-Jun-16	627.42	664.87	667.88	614.33	45.12K	-5.63%	
27-Jun-16	662.2	627.42	662.2	617.29	46.01K	5.54%	
28-Jun-16	646.3	662.2	664.25	632.95	35.75K	-2.40%	
29-Jun-16	639.68	646.61	646.61	621.95	33.26K	-1.02%	
30-Jun-16	674.74	639.97	677.46	635.57	40.25K	5.48%	
1-Jul-16	674.75	674.74	690.58	667.62	41.62K	0.00%	
2-Jul-16	705.04	674.75	705.35	673.36	29.14K	4.49%	
3-Jul-16	659.29	705.99	706.98	644.4	44.70K	-6.49%	
4-Jul-16	681.34	659.29	684.2	644.46	23.52K	3.34%	
5-Jul-16	667.76	681.34	682.7	659.25	17.40K	-1.99%	
6-Jul-16	677.04	667.8	682.62	667	15.92K	1.39%	
7-Jul-16	640.51	677.36	682	610.1	75.70K	-5.40%	
8-Jul-16	664.8	640.51	666.6	633.97	32.88K	3.79%	
9-Jul-16	648.11	664.8	664.8	623.99	46.88K	-2.51%	
10-Jul-16	649.72	648.12	651.47	636.92	10.27K	0.25%	
11-Jul-16	647.95	649.72	662.54	643.4	13.92K	-0.27%	
12-Jul-16	667.19	647.95	678.01	645.6	30.22K	2.97%	
13-Jul-16	653.7	667.07	669.87	652.52	17.54K	-2.02%	
14-Jul-16	659.78	653.7	666	649.97	20.20K	0.93%	
15-Jul-16	665.5	659.78	669.56	658.16	9.47K	0.87%	
16-Jul-16	665.33	665.5	669.59	659.13	5.92K	-0.03%	
17-Jul-16	683.2	665.33	689.69	663.61	20.41K	2.69%	
18-Jul-16	674.3	683.2	686	666.46	18.08K	-1.30%	
19-Jul-16	675	674.3	676.64	666.32	10.95K	0.10%	
20-Jul-16	665.85	675	676	661.26	12.85K	-1.36%	
21-Jul-16	665.01	665.85	668	657.58	10.70K	-0.13%	
22-Jul-16	648.04	665.01	668	639.97	27.84K	-2.55%	
23-Jul-16	654.03	648.04	657.1	644.98	10.00K	0.92%	
24-Jul-16	661.82	654.03	664.1	650.52	14.02K	1.19%	
25-Jul-16	654.17	661.82	664.39	650	14.84K	-1.16%	
26-Jul-16	648.47	654.17	657.59	640.59	20.36K	-0.87%	
27-Jul-16	654.51	648.47	657.06	646.6	11.79K	0.93%	
29-Jul-16	658.34	656.97	660.44	654.54	9.23K	0.59%	
30-Jul-16	654.99	658.34	660.45	651.85	8.09K	-0.51%	
31-Jul-16	623.67	654.99	655.12	621.26	33.26K	-4.78%	
1-Aug-16	607.99	622.7	627.32	605.01	31.43K	-2.51%	
2-Aug-16	604	608.29	615.26	595	48.65K	-0.66%	
9-Aug-16	604.1	604.1	604.1	604.1	-	0.00%	
10-Aug-16	590.28	604.1	614.5	579	21.35K	-2.29%	
11-Aug-16	591.27	590.5	599	587.75	15.30K	0.17%	
12-Aug-16	585.5	591.27	593	584	6.29K	-0.98%	
13-Aug-16	583.73	585.5	590.02	582.06	6.42K	-0.30%	
14-Aug-16	569.44	583.73	583.73	564	7.51K	-2.45%	
15-Aug-16	564.64	569.41	574.02	562.99	7.65K	-0.84%	
16-Aug-16	574.24	564.64	579	564	6.22K	1.70%	
17-Aug-16	571.83	574.17	577.94	569.01	5.03K	-0.42%	
18-Aug-16	572.21	571.83	578.02	569.71	6.00K	0.07%	
19-Aug-16	573.5	572.33	577.17	570.82	2.93K	0.23%	
20-Aug-16	582.01	573.51	582.75	571.25	3.34K	1.48%	
21-Aug-16	581.42	582.1	584.16	580.01	2.43K	-0.10%	
22-Aug-16	588.01	581.42	589.99	581.42	4.62K	1.13%	
23-Aug-16	583.54	588.01	590.69	581.12	4.80K	-0.76%	
24-Aug-16	580.32	583.54	586.88	580	5.05K	-0.55%	
25-Aug-16	577.2	580.32	581.14	574.01	3.57K	-0.54%	
26-Aug-16	578.01	577.2	579.5	575.06	1.77K	0.14%	
27-Aug-16	568.55	578.02	578.9	567.23	2.26K	-1.64%	
28-Aug-16	574.17	568.55	574.37	568.3	1.52K	0.99%	
29-Aug-16	574.78	574.17	577.99	573.02	2.80K	0.11%	
30-Aug-16	579.49	574.78	580.15	574.17	3.20K	0.82%	
31-Aug-16	576.15	579.49	579.49	572.74	3.51K	-0.58%	
1-Sep-16	572.73	576.15	577.98	571.5	3.62K	-0.59%	
2-Sep-16	579.85	572.73	581.07	570.61	5.67K	1.24%	
3-Sep-16	609.89	579.85	612.43	576.04	8.21K	5.18%	
4-Sep-16	614.52	609.89	618.65	604.6	5.06K	0.76%	
5-Sep-16	611.5	614.52	615.67	605.7	5.08K	-0.49%	
6-Sep-16	615.23	611.5	616.7	609.77	3.09K	0.61%	
7-Sep-16	619.75	615.06	620.63	610.85	5.53K	0.73%	
8-Sep-16	631.73	619.75	636.16	617.78	8.27K	1.93%	
9-Sep-16	626.25	631.73	633.45	621.26	4.27K	-0.87%	
10-Sep-16	628	626.25	629.65	624.9	4.04K	0.28%	
11-Sep-16	612.08	628	635	598	9.64K	-2.54%	
12-Sep-16	611.62	612.08	615.21	608.14	4.97K	-0.08%	
13-Sep-16	614.23	611.62	618	610	7.27K	0.43%	
14-Sep-16	613.88	614.23	617.38	612.01	5.93K	-0.06%	
15-Sep-16	611.81	613.88	617.3	611	4.38K	-0.34%	
16-Sep-16	610.01	611.81	614.22	609.54	3.70K	-0.29%	
17-Sep-16	607.69	610.01	610.56	605	3.57K	-0.38%	
18-Sep-16	613.03	607.69	615.86	607.37	2.93K	0.88%	
19-Sep-16	609.79	613.03	615.05	608.92	2.96K	-0.53%	
20-Sep-16	600.05	609.79	612.01	600.05	3.37K	-1.60%	
21-Sep-16	597.43	600.13	600.13	592.7	7.66K	-0.44%	
22-Sep-16	597.08	597.43	598.7	596	2.33K	-0.06%	
23-Sep-16	603.29	597.08	603.99	595.95	1.96K	1.04%	
24-Sep-16	602.55	603.29	605.8	601.49	0.94K	-0.12%	
25-Sep-16	600.36	602.55	603.6	597.63	1.39K	-0.36%	
26-Sep-16	609.14	600.36	610	599.88	3.11K	1.46%	
27-Sep-16	605.53	609.14	609.91	602.01	3.20K	-0.59%	
28-Sep-16	603.76	605.53	605.77	603.13	2.05K	-0.29%	
29-Sep-16	604.6	603.76	607.77	603.18	3.14K	0.14%	
30-Sep-16	611.1	604.6	612.92	604.25	2.36K	1.08%	
1-Oct-16	614.09	611.1	616.87	611.1	1.90K	0.49%	
2-Oct-16	609.09	614.09	614.21	607.01	4.97K	-0.81%	
3-Oct-16	612.57	609.09	613.22	608.93	3.28K	0.57%	
4-Oct-16	610.98	612.67	614	609.63	4.01K	-0.26%	
5-Oct-16	614.09	610.71	617.28	610	3.41K	0.51%	
6-Oct-16	613.51	614.09	615.9	612.68	3.08K	-0.09%	
7-Oct-16	620.13	613.51	621.17	613	4.85K	1.08%	
8-Oct-16	620.5	620.13	622.87	617.91	3.11K	0.06%	
